horrible,3.6796008000000002,noun
disgusting,3.4936825,adj
moron,3.4696771,noun
bastard,3.3992381000000003,noun
stupid,3.3238818,noun
bitch,3.2622911,noun
scumbag,3.1949177000000004,noun
stupid,3.1918846000000003,adj
horrible,3.1827808999999996,adj
ass,3.0799800999999998,noun
idiot,3.0301171,noun
bastard,2.9925045,adj
slut,2.9309319,noun
vile,2.8624451,adj
redneck,2.8006986,noun
filth,2.7742084,noun
cretin,2.7070032000000004,noun
sadist,2.6944803,noun
crap,2.6591225,noun
sociopath,2.6348441000000005,noun
arent,2.5915894,noun
stink,2.5817116,noun
revolting,2.5617978999999997,noun
rotten,2.5617882,adj
bigot,2.5544108,noun
bitch,2.5479306,verb
brat,2.5388335,noun
scum,2.5280096000000003,noun
crappy,2.5225451,adj
stinky,2.5190451,adj
rubbish,2.4968679,noun
fuck,2.4959138,noun
slut,2.4950544999999997,verb
liar,2.4938713,noun
filthy,2.4713835,adj
nerd,2.4511875,noun
hypocrite,2.4136389,noun
nutcase,2.401145,noun
whore,2.3926588,noun
stinking,2.3922521,noun
lout,2.3866137000000003,noun
stink,2.386318,verb
wanker,2.3574416,noun
crap,2.3467714,verb
rubbish,2.3389342999999996,adj
dolt,2.3368959,noun
hideous,2.3248801,adj
shit,2.3208947,noun
lunatic,2.3147081000000003,noun
pest,2.3117798,noun
snot,2.3059359,noun
egomaniac,2.3009798,noun
perverted,2.2945354,adj
crap,2.2912594,adj
twat,2.2811641,noun
fart,2.2765787,noun
cunt,2.2763675,noun
bugger,2.2715692,noun
dumbass,2.2690002000000002,noun
commie,2.2671629,noun
wretch,2.2579331000000002,noun
psychopath,2.2549929,noun
despicable,2.2427071,adj
fuck,2.2390388999999997,verb
piss,2.2322599999999997,noun
pathetic,2.2298695,adj
vermin,2.2237202999999996,noun
buffoon,2.2117196,noun
lowlife,2.2101648999999997,noun
schmuck,2.2044661,noun
hateful,2.203023,adj
fag,2.1958757999999996,noun
slimy,2.1945775000000003,adj
sadistic,2.1791394,adj
sux,2.1702603,verb
horrid,2.1578152999999998,adj
crackpot,2.1482269,noun
lousy,2.1455968,adj
weird,2.1407319,noun
chav,2.1260895,noun
rubbish,2.1084307,verb
scruffy,2.1043671,noun
sexist,2.1041722000000003,noun
revolting,2.0877126,adj
fucking,2.0841984,noun
heartless,2.0813087,adj
prank,2.0789004,noun
twerp,2.0703899,noun
loony,2.0660404,noun
inbred,2.0562485,noun
phony,2.0558828,noun
faggot,2.0539746,noun
git,2.0528487,noun
nitwit,2.0520718000000002,noun
bugger,2.051638,verb
